nodeNaam1,nodeNaam2,begintijd,eindtijd
820,3649,20241014234505,20241015021617
7315,8025,20240224043515,20240224111827
3359,17871,20240203181943,20240203234312
1042,13826,20240112134348,20240112143558
7165,7624,20240715061509,20240715114455
870,18391,20240318051804,20240318115006
13747,17857,20240326143919,20240326184538
9116,19310,20241110082619,20241110162204
213,5232,20240928030750,20240928065938
9106,11150,20240301091026,20240301110901
3350,11030,20240206002714,20240206035543
3170,11764,20241125031312,20241125062202
8668,19783,20241109105850,20241109112333
15055,17572,20240218112750,20240218145533
2583,18090,20240423203710,20240424041107
11851,18919,20240315161534,20240315224121
1502,2280,20240913192515,20240913213042
2615,9483,20241128040820,20241128061628
3310,12456,20240417225406,20240418030243
5330,11955,20240523182012,20240523213513
6866,8749,20240929132621,20240929194039
2340,19961,20240903142535,20240903160002
8022,17503,20240304110117,20240304151444
8846,12434,20241225091615,20241225150646
7197,18251,20240922210402,20240923000208
1833,7506,20241115034519,20241115040350
10337,13146,20240413233133,20240414000841
6914,18586,20241206082017,20241206145321
6968,10312,20240911130752,20240911174130
12965,15036,20240225113935,20240225140514
4576,8082,20241016074802,20241016125536
8610,17662,20241017024024,20241017080039
14039,19122,20240604024057,20240604055938
4533,7187,20240716210745,20240717013816
1544,2979,20241130100339,20241130110431
5009,5243,20241103144253,20241103205531
13834,19544,20240125160716,20240125193824
12505,19527,20240630183228,20240630232226
8239,18129,20241130070253,20241130071009
3754,17596,20241018144118,20241018170801
3656,11147,20240423233710,20240424033536
5183,14868,20240102061454,20240102125015
8631,16404,20241022220008,20241022233842
3487,16636,20241204014916,20241204073145
9780,16636,20240824120049,20240824135026
5009,12253,20241023030656,20241023043609
17379,17675,20241222165847,20241222170005
10622,19627,20240708180807,20240708181945
3666,11895,20241207061653,20241207135205
7847,10077,20240123115406,20240123140638
2581,18592,20240203062052,20240203130135
2268,15925,20241022091933,20241022141128
4121,4208,20240913051924,20240913093958
5411,18016,20240412223024,20240413031934
13866,19877,20240323060608,20240323110139
6592,10215,20240603225239,20240604050028
12237,14356,20241215090039,20241215134418
3966,14795,20240406063852,20240406084234
2099,11079,20240109040312,20240109092529
7541,18151,20240816123933,20240816144049
236,2327,20241001213320,20241002031859
1930,7502,20240127041259,20240127043108
2322,10828,20240718161656,20240718182754
9126,15907,20240324044954,20240324094523
4336,18712,20240811184054,20240811230002
7963,15499,20241109142503,20241109180821
3091,6240,20240207152738,20240207212831
11610,14125,20240613120220,20240613154750
1776,15304,20240918121244,20240918181036
1987,3225,20240605084208,20240605152050
3581,11119,20240406133842,20240406152420
6233,17574,20240623052252,20240623064025
6013,13825,20240418041344,20240418082723
2471,8186,20240621021640,20240621093857
3209,18034,20240120153102,20240120212811
484,17714,20240206051619,20240206120851
5450,7746,20240606200312,20240607002925
7005,15774,20241201190732,20241201224733
1922,5395,20240527041707,20240527041917
8691,12794,20241225194627,20241226025539
9348,14910,20240613064255,20240613130420
15948,18212,20240301024839,20240301043321
7134,9723,20240123170613,20240123222331
1998,17767,20241017113815,20241017143031
1644,1874,20240814205547,20240815011710
16478,17404,20240302032245,20240302035448
2626,16641,20241126150515,20241126164744
2246,19499,20240127092628,20240127153613
7708,13231,20240216132527,20240216183734
8068,18971,20240818211912,20240818214154
2687,13738,20240912070943,20240912122928
17131,18522,20240502204650,20240502231014
6694,10296,20240402164251,20240402190854
4289,12970,20240917203623,20240918022954
9831,14983,20240502185906,20240503015043
306,2378,20240626233150,20240627051204
3277,18449,20240129105021,20240129154458
6985,16577,20240412235049,20240413010409
2255,11437,20241207112333,20241207133757
9339,12109,20240302061825,20240302101843
9913,17801,20240825131459,20240825203646
257,17333,20240916085610,20240916162324
9811,18174,20241227203544,20241228023901
3395,4401,20240412170003,20240412180405
3508,18129,20240301085246,20240301112230
9233,19820,20240322191238,20240323014532
6672,11236,20240923235615,20240924054337
8651,16562,20240708172648,20240708194456
1665,3025,20240903075734,20240903114953
1445,9067,20240102090253,20240102120602
4287,8584,20240303180311,20240304004859
14479,18078,20241001011750,20241001051224
317,18380,20240213104424,20240213112629
4885,17878,20240114234823,20240115072511
12099,19088,20240802135425,20240802151617
4177,14084,20240117055223,20240117084144
1308,11949,20241215023505,20241215055129
6884,8177,20240916001611,20240916011319
11590,18347,20241209084357,20241209164239
5065,13317,20241225124439,20241225145456
