nodeNaam1,nodeNaam2,begintijd,eindtijd
3075,4595,20240330045507,20240330071903
953,2608,20240130081458,20240130120902
456,633,20241116122022,20241116155102
751,2834,20240501190848,20240502010700
769,1776,20240719015356,20240719031647
1351,1401,20240610063125,20240610075619
1613,3105,20241023101558,20241023132216
4186,4490,20240330023128,20240330095827
2249,3167,20241124141159,20241124143853
1232,2716,20240113213946,20240114041514
2479,4480,20240730145911,20240730161730
1192,2596,20240527141951,20240527214753
3824,4927,20240130151843,20240130220218
1580,4143,20240713140415,20240713172934
747,2905,20240714074432,20240714112438
2336,4726,20241206102415,20241206104553
2447,4217,20241203030451,20241203072007
634,4330,20240725050953,20240725122745
1128,4877,20240825061345,20240825065852
3825,4373,20240103072042,20240103142041
3214,4071,20240611202937,20240611212438
2083,2970,20240518202554,20240519025110
67,4251,20240912065141,20240912123650
864,3501,20241222181604,20241222230118
432,3614,20240111135956,20240111144452
1761,3387,20240501201949,20240501205812
1207,1513,20240104055642,20240104063220
1657,3451,20240520050407,20240520090828
3227,4941,20240210194531,20240210215726
2537,3317,20240907170629,20240907211056
1495,2720,20240818074439,20240818124449
2918,3129,20240730033257,20240730060125
828,1449,20241006014338,20241006031825
1064,4195,20241215192410,20241216005344
2597,4339,20240321191314,20240322021235
2060,2633,20241113182327,20241113192011
2006,2139,20240115081701,20240115090943
2052,4719,20240310091644,20240310125356
1905,3779,20240604034307,20240604052924
1220,2671,20241214205402,20241215041421
874,2903,20240402121517,20240402130603
360,2154,20240908065010,20240908085330
189,4442,20240111223500,20240112011459
1815,2626,20240204173003,20240204174919
300,1399,20240505204014,20240506021413
371,2417,20240623060052,20240623092503
2407,3937,20240618095824,20240618152533
720,3816,20240212090455,20240212110600
2826,4625,20240504214631,20240504222422
2292,4158,20240609054711,20240609131840
846,4755,20240702192654,20240702204946
2468,4167,20240702170010,20240703003044
701,1179,20240624140327,20240624150524
4928,4994,20240228225021,20240229031829
1402,2491,20240203085434,20240203142555
3987,4423,20240728010536,20240728084704
1648,1961,20240331201034,20240331220652
454,3469,20240521084255,20240521115237
3253,3690,20240127232336,20240128013643
2809,2915,20240220205554,20240221032244
38,1138,20240928010137,20240928022640
1058,3635,20240828223930,20240829023738
814,4014,20240626112502,20240626172958
226,278,20240203221448,20240204053950
1411,4374,20240118193434,20240119003630
2805,2822,20240925080829,20240925084633
1490,3710,20240909131138,20240909183513
2219,4474,20240731142935,20240731205907
4509,4887,20240405232821,20240406013024
