nodeNaam1,nodeNaam2,begintijd,eindtijd
457,2620,20240110170701,20240110235300
1004,1127,20240327162829,20240327174541
420,2772,20241014153125,20241014203015
357,2419,20240612203547,20240612205408
123,384,20240325215113,20240325235916
2070,2466,20240111071959,20240111122729
815,2933,20240909092143,20240909154544
1719,2233,20240326143919,20240326184538
1140,2414,20241110082619,20241110162204
27,654,20240928030750,20240928065938
1139,1394,20240301091026,20240301110901
419,1379,20240206002714,20240206035543
397,1471,20241125031312,20241125062202
1084,2473,20241109105850,20241109112333
1882,2989,20240727060029,20240727070939
323,1551,20240802092329,20240802120435
2534,2575,20241209210030,20241210045206
1482,2365,20240315161534,20240315224121
188,285,20240913192515,20240913213042
327,1186,20241128040820,20241128061628
414,1557,20240417225406,20240418030243
1495,2604,20240304040245,20240304072555
859,1456,20240917062907,20240917085555
2800,2875,20240908160739,20240908164738
2496,2601,20240307110740,20240307160022
1003,2987,20240304110117,20240304151444
1106,1555,20241225091615,20241225150646
2282,2819,20240326065742,20240326131235
230,1329,20240329225257,20240330062245
132,1293,20240604190736,20240604213449
272,865,20241220150243,20241220201328
1289,2941,20240323134922,20240323194819
1621,2045,20241209135040,20241209194244
586,1880,20240412205143,20240412220858
1011,2300,20240728073756,20240728100225
1755,2395,20241214161856,20241214213837
1483,1636,20240326041303,20240326052935
2022,2088,20240205072013,20240205141358
193,450,20240229083503,20240229141843
656,2788,20240612224857,20240613041540
261,1577,20240528045658,20240528102324
1918,2168,20240407152057,20240407202405
48,2787,20241006213651,20241006224024
2200,2793,20241018144118,20241018170801
1394,2626,20240213074429,20240213102546
648,1781,20240625050041,20240625050327
2948,2958,20240412065749,20240412113212
732,2080,20241220101828,20241220111734
1223,2562,20241122205536,20241123024533
2080,2495,20240318055909,20240318072337
662,1532,20240728112236,20240728182850
3,2173,20240820143405,20240820173206
80,2002,20240213104057,20240213140011
981,1260,20240123115406,20240123140638
323,2324,20240203062052,20240203130135
284,1991,20241022091933,20241022141128
516,526,20240913051924,20240913093958
677,2252,20240412223024,20240413031934
1734,2485,20240323060608,20240323110139
2826,2990,20240319025149,20240319092210
1277,1635,20240917203434,20240918023029
1530,1795,20241215090039,20241215134418
496,1850,20240406063852,20240406084234
263,1385,20240109040312,20240109092529
943,2269,20240816123933,20240816144049
30,291,20241001213320,20241002031859
242,938,20240127041259,20240127043108
291,1354,20240718161656,20240718182754
1141,2741,20240707122327,20240707142127
542,2209,20241007220804,20241008032055
1937,2361,20240404085354,20240404160324
1668,1938,20240314224456,20240314233726
398,2700,20240616094117,20240616125546
1684,1735,20240630085907,20240630165153
222,2987,20240918121244,20240918181036
404,2647,20240124125703,20240124163756
1390,2983,20241106220346,20241107055521
448,1019,20240315094456,20240315112948
1838,2197,20240224103537,20240224142701
752,1141,20240628160022,20240628181747
309,1816,20241109191847,20241110031011
402,2255,20240120153102,20240120212811
61,2215,20240206051619,20240206120851
682,969,20240606200312,20240607002925
876,1972,20241201190732,20241201224733
241,675,20240527041707,20240527041917
1087,1600,20241225194627,20241226025539
1169,1864,20240613064255,20240613130420
2277,2993,20240914010515,20240914073835
635,1994,20240314175835,20240314204137
240,892,20240812222105,20240813050353
250,2221,20241017113815,20241017143031
206,235,20240814205547,20240815011710
2060,2176,20240302032245,20240302035448
329,2081,20241126150515,20241126164744
281,2438,20240127092628,20240127153613
964,1654,20240216132527,20240216183734
1009,2372,20240818211912,20240818214154
336,2537,20240611192733,20240612012733
2316,2391,20240722004117,20240722033503
837,1069,20240917021754,20240917085002
978,1287,20240413034224,20240413071933
537,2752,20240907163012,20240907191502
1296,1873,20241226190442,20241227015619
39,298,20240626233150,20240627051204
410,2307,20240129105021,20240129154458
874,2073,20240412235049,20240413010409
282,1430,20241207112333,20241207133757
1168,1514,20240302061825,20240302101843
2226,2882,20240427113950,20240427171453
2167,2679,20240104005459,20240104070043
1227,2272,20241227203544,20241228023901
425,551,20240412170003,20240412180405
439,2267,20240301085246,20240301112230
1155,2478,20240322191238,20240323014532
834,1405,20240923235615,20240924054337
1082,2071,20240708172648,20240708194456
209,379,20240903075734,20240903114953
181,1134,20240102090253,20240102120602
536,2610,20240411173600,20240411190514
1810,2260,20241001011750,20241001051224
40,2298,20240213104424,20240213112629
611,2831,20240730211612,20240730213652
1513,2386,20240802135425,20240802151617
523,1761,20240117055223,20240117084144
164,1494,20241215023505,20241215055129
861,2794,20240406214708,20240407035222
422,1449,20241029231237,20241030041923
1665,2543,20241018013815,20241018030339
666,970,20241106152914,20241106225301
726,1689,20240110150132,20240110164029
1361,1687,20241107132224,20241107192915
1017,1093,20240302194953,20240303030053
443,2873,20240528133250,20240528213009
159,1928,20240327091357,20240327110356
1433,1886,20240428123506,20240428200413
914,933,20240110043406,20240110103533
792,1633,20240507113723,20240507141032
285,1144,20240516085508,20240516144628
1638,2087,20240920213404,20240921051549
1357,2197,20241230181928,20241230183532
473,1070,20240310082221,20240310134025
157,1088,20240212022305,20240212074953
1416,1780,20241009223155,20241010054224
1285,1788,20240823101633,20240823145651
474,1578,20241215075930,20241215131523
779,1044,20240118054244,20240118121049
7,1787,20240720220031,20240721052158
2206,2814,20241006093424,20241006162036
808,2747,20240521104724,20240521144356
287,2721,20241223141223,20241223171342
1286,2553,20240914151309,20240914225716
511,2949,20241215130240,20241215154740
1267,2078,20240915235332,20240916033734
1337,1649,20240927182712,20240927210940
522,2271,20240315120445,20240315155522
1553,2724,20240920010338,20240920075312
713,2522,20240809002643,20240809031204
1664,2245,20241119185254,20241119185407
1176,1245,20240322150240,20240322185826
2376,2485,20240911061755,20240911091454
1810,1905,20240620171340,20240620232338
876,2094,20240702182453,20240703013922
696,2699,20240202222106,20240203005705
2112,2720,20240902192610,20240903010521
383,1373,20241113201534,20241114030647
963,2756,20240430131908,20240430152249
604,816,20240110113940,20240110120554
1003,1947,20240825092910,20240825171414
299,1866,20240609225212,20240610043708
797,2358,20241005232809,20241006054927
1573,2025,20240604050204,20240604071618
605,2688,20240924010619,20240924011020
437,1742,20240325234450,20240326012153
2122,2851,20240629095507,20240629102332
1021,2284,20241222072625,20241222151043
498,1870,20240221184837,20240222020717
1904,2735,20240725063028,20240725113642
1300,2439,20241020072625,20241020112907
2510,2947,20241212101354,20241212145034
1748,2245,20240622041257,20240622054052
1844,1945,20240410155025,20240410224159
1013,2612,20240417164344,20240417234258
1985,2136,20240831094307,20240831115446
1125,1802,20240131021149,20240131084230
961,1171,20240415123406,20240415153831
1310,2213,20240201070217,20240201081851
618,948,20240528180851,20240529002850
626,2894,20240324021107,20240324024711
1670,1700,20240508120217,20240508165937
1704,1909,20240125042130,20240125061527
1596,1721,20241217094221,20241217164345
2393,2849,20240108140303,20240108215156
1559,2359,20240704054624,20240704055037
1224,1441,20241019145349,20241019182748
1717,2205,20241017072103,20241017140315
2237,2471,20241214161229,20241214181355
899,2000,20240415235629,20240416035530
119,1990,20240531002442,20240531032916
2740,2782,20241105231332,20241106025520
677,2967,20241122100450,20241122142105
523,2549,20240726102335,20240726103918
1614,2425,20240807043052,20240807103357
112,344,20240906145139,20240906184643
556,1892,20240311135014,20240311141841
1066,1553,20240507030852,20240507050527
1339,1863,20240511014359,20240511084042
1140,1553,20241019011422,20241019084942
1034,1727,20241120055601,20241120064144
80,1927,20241017212443,20241018022018
214,1434,20240328015407,20240328075010
282,2670,20240116151358,20240116220652
128,1013,20240318101034,20240318174953
84,2545,20240229041823,20240229062939
518,1940,20240916234831,20240917005159
893,2311,20240629142551,20240629204851
1050,1511,20240306035429,20240306092622
2488,2943,20240214113125,20240214183711
671,1275,20240211233312,20240212045014
106,1278,20240811144852,20240811205947
1538,1625,20241231150831,20241231214000
312,813,20240817224507,20240818050317
995,2570,20240209134720,20240209200905
1236,2803,20240821041430,20240821113525
496,2319,20241030224124,20241030230449
1423,2183,20240615084620,20240615144836
283,1518,20240715115346,20240715174824
52,1398,20241125223707,20241126022731
433,2008,20240617084351,20240617120239
1884,2604,20241001163539,20241001180012
722,1784,20241011232804,20241012041400
1107,2665,20240827044309,20240827120532
1981,2205,20240629125615,20240629165507
2427,2995,20240414053739,20240414083440
355,1006,20240418074758,20240418115509
999,1904,20240809072301,20240809125720
1553,2737,20240510152637,20240510154317
1332,2025,20240311145213,20240311191929
869,1454,20241105202011,20241105224216
1146,1395,20241207211036,20241208023710
1132,2873,20240803202052,20240803202724
783,2117,20240203055814,20240203081102
1665,2950,20240708175232,20240708225644
985,2829,20240703213033,20240704032417
2011,2916,20240623011722,20240623083124
71,382,20240424062827,20240424083028
1657,2834,20240404114606,20240404143419
2383,2720,20240523073111,20240523115038
2175,2268,20240513120304,20240513155626
1355,2255,20240516150642,20240516213133
1110,1859,20240429015600,20240429041417
495,945,20241007025126,20241007043736
490,1293,20241015120912,20241015170251
759,2827,20240315091728,20240315111638
1133,1984,20241008093718,20241008150017
2149,2445,20240419214420,20240419224014
796,1214,20240329081748,20240329113553
735,1239,20240106115220,20240106182000
519,2188,20240416124600,20240416131151
224,2267,20240423105439,20240423171631
518,2613,20241203063842,20241203133049
421,2011,20241204222015,20241204222756
1165,2352,20240701070547,20240701112813
1396,1805,20240312142338,20240312145241
1035,1957,20240214072209,20240214145208
268,1642,20240709232436,20240710000603
2364,2579,20240923141114,20240923144130
612,622,20241111002331,20241111053154
349,1245,20240406091826,20240406102407
1705,2286,20240823111724,20240823164357
925,2534,20241028055916,20241028104539
1559,1846,20241218195228,20241218235515
1218,2411,20240615125901,20240615154647
2330,2544,20240124092313,20240124145709
407,852,20240830221321,20240831000935
1084,2706,20240201124319,20240201141005
712,983,20240802085626,20240802093825
11,642,20240607153935,20240607194637
2433,2824,20240701115406,20240701143409
134,949,20240421211955,20240422034700
1159,2880,20241129200655,20241130001552
292,2816,20240331154003,20240331180531
2416,2561,20240913184021,20240914020023
811,1742,20240214134733,20240214184557
921,2653,20240227204054,20240227230658
293,583,20240124035200,20240124052336
1260,2438,20241017204730,20241018041838
1183,2332,20240619131224,20240619142118
1920,2821,20240428022007,20240428084315
1116,1649,20240713084419,20240713134013
1794,2023,20240201054620,20240201111356
164,1770,20241012062108,20241012091809
1026,2473,20240111010441,20240111015533
938,2762,20241120154156,20241120233253
2357,2405,20240109012141,20240109082020
1104,2754,20240811190040,20240811192338
718,1928,20240720130536,20240720190224
1140,1812,20240311113605,20240311165645
1786,2601,20241112051846,20241112094818
374,1926,20240515031355,20240515065755
1316,1366,20240917060549,20240917070356
659,1351,20240608204837,20240609030827
1181,2030,20240914074334,20240914112316
151,2254,20240625151705,20240625160610
1034,1289,20240505130748,20240505141206
1656,2108,20241116085243,20241116085420
2223,2694,20240628095553,20240628134234
223,769,20240720081219,20240720113053
2042,2551,20240830211355,20240831011619
212,834,20240413170840,20240413220936
537,1180,20240619033216,20240619095436
498,1986,20240112050457,20240112105001
981,2494,20241002153919,20241002170648
1273,2257,20240106072718,20240106122954
382,1672,20240328062142,20240328140213
465,1891,20240215145149,20240215204633
631,2042,20241228045723,20241228112944
1196,2085,20240930225446,20241001012505
1702,1977,20240702092426,20240702113832
1871,2258,20240226040939,20240226074008
781,2456,20240716090854,20240716155728
286,560,20240417064844,20240417135143
1393,1700,20241228194934,20241229030045
1095,2080,20241114160431,20241114160655
1159,2974,20240425224431,20240426062253
2376,2405,20240913070537,20240913113401
609,1830,20240728035605,20240728082135
1362,1414,20240802081435,20240802151212
1546,2226,20240625200709,20240625230353
773,2857,20240402174944,20240402230300
957,1569,20241128103709,20241128174142
179,1683,20240503133705,20240503202447
1938,2889,20241220174710,20241221011118
1562,1582,20240914180141,20240915011526
624,2671,20240711084751,20240711090904
518,2058,20240817045249,20240817075507
412,1804,20240208172249,20240208221103
63,1872,20241007133952,20241007145935
1680,2682,20240229224503,20240229232654
1086,1924,20240511113709,20240511171831
1629,2838,20240909085459,20240909093950
1346,2763,20241129173858,20241129223123
1298,1557,20240831101130,20240831164500
1999,2217,20240114223613,20240115041425
281,962,20240902025049,20240902090535
932,1178,20241017002201,20241017011222
404,1778,20241022070933,20241022125639
412,2884,20240621072301,20240621085452
1227,2843,20241216203121,20241216204809
189,1329,20241105043541,20241105050719
1202,1469,20240525134619,20240525174231
597,1001,20240725064944,20240725103546
2319,2793,20241103184900,20241103202820
697,718,20240131160218,20240131213609
1567,2539,20240922071632,20240922092903
2039,2389,20240225135713,20240225160501
1889,2613,20240408151425,20240408192624
1046,2732,20240104153525,20240104225551
1179,1906,20240920034728,20240920084658
303,648,20240620131311,20240620162254
1226,2407,20240905032025,20240905071308
1025,2828,20240626100106,20240626174344
816,1238,20240529093603,20240529172305
437,1980,20240402025502,20240402062418
1471,2343,20240811053807,20240811082042
1210,2865,20240109122930,20240109200348
1622,2697,20240416142033,20240416142558
2319,2810,20241029062324,20241029131105
201,2484,20241016093028,20241016140244
943,1173,20240823181521,20240824013418
898,1444,20240904054231,20240904072721
1027,2544,20240920051321,20240920120659
2701,2953,20240921100145,20240921174035
561,2574,20240207173800,20240207232140
162,2648,20240429232747,20240430063928
137,1806,20240813020109,20240813052124
539,3000,20240205000614,20240205024824
1339,1702,20240309050502,20240309065541
542,2210,20241206091217,20241206123305
2056,2175,20241220181856,20241220204846
674,1053,20241220233313,20241221070436
1209,1974,20241016222614,20241017062235
472,1388,20240630210953,20240630215200
577,925,20241130010529,20241130071550
2763,2967,20240603080836,20240603155129
1499,2283,20240205014101,20240205085350
58,1617,20240412165557,20240412214959
507,1863,20240523032802,20240523093629
1074,2754,20240815002941,20240815035846
1522,2616,20240212015131,20240212080104
958,1932,20240110171447,20240110225408
1344,2300,20241221104812,20241221162223
907,2653,20240125131331,20240125190131
1902,2872,20240427083659,20240427143233
478,1673,20240224064858,20240224071443
153,1247,20240710073539,20240710084004
399,962,20241210135122,20241210184556
556,1592,20240625041558,20240625073935
2747,2853,20240728185732,20240728224725
2406,2977,20240301001528,20240301040302
406,2683,20241119183457,20241119230311
1672,2522,20241230163632,20241230191018
135,2828,20240523213522,20240523233501
1817,1822,20240401164345,20240402003156
407,1486,20240923070011,20240923102147
2231,2642,20240519070457,20240519073901
1131,1631,20240314170838,20240314181620
376,1863,20240914092708,20240914112358
2620,2629,20240819214813,20240819220052
208,1367,20240404141335,20240404152321
841,2313,20240127152934,20240127230345
849,2271,20240815172911,20240815192807
955,1346,20241027173817,20241027185952
12,2442,20240417162319,20240418001307
533,593,20240728191022,20240728212815
451,715,20240913173013,20240914012424
106,540,20240106183029,20240106214707
975,2412,20240505174607,20240505175544
714,1087,20240121082339,20240121093352
1725,2155,20240214031717,20240214100530
261,1951,20240623021340,20240623091934
1483,2103,20240818132206,20240818142239
1852,2064,20240327005936,20240327063631
178,2979,20241031041216,20241031120645
2136,2699,20240427032354,20240427073503
128,2636,20240124145601,20240124191836
1646,1747,20240923105331,20240923115328
2009,2918,20241219070134,20241219110448
302,331,20240505021759,20240505075111
270,608,20240219001127,20240219024238
2558,2594,20240815075939,20240815130007
1332,2917,20240527221710,20240528034425
1208,2174,20240625045603,20240625093308
1763,2480,20240208122436,20240208193844
469,2875,20241127043615,20241127103448
2259,2667,20241006224253,20241007063633
881,1762,20240624084748,20240624105335
1389,1695,20241117080622,20241117121502
1634,1704,20241010082853,20241010092148
1281,1749,20240501085550,20240501150004
1045,1534,20240229064152,20240229125757
275,1943,20240205101635,20240205175150
