nodeNaam1,nodeNaam2,begintijd,eindtijd
785,5160,20240428145132,20240428221853
5051,10674,20240114075541,20240114115607
2467,11763,20241015155747,20241015204301
15341,18336,20240215033536,20240215112857
11176,11504,20240401082312,20240401135916
10981,18396,20241202115754,20241202175326
13257,18827,20241125222028,20241126001856
5877,16817,20240602213329,20240602230540
15435,19177,20241024054822,20241024114034
860,16827,20240619074227,20240619143643
4109,8314,20240209001756,20240209061500
9402,15199,20241211061007,20241211105621
4165,9353,20240502014529,20240502055458
9215,19886,20241005172244,20241006004118
12167,14375,20240728013205,20240728065107
797,8072,20240305151803,20240305182804
9932,17084,20240803092528,20240803153327
11917,18475,20240915073248,20240915083631
11740,18211,20240103090529,20240103095150
3496,12372,20240301161322,20240301231519
3754,18344,20240621195320,20240622004037
17571,18028,20240209141932,20240209182104
2134,11017,20240221135902,20240221204952
10915,17537,20240712131520,20240712193004
5884,16113,20240829014511,20240829081954
9151,15202,20240708122920,20240708180959
1506,3306,20240606082905,20240606133706
2733,18457,20240814221716,20240815060742
6174,16924,20240115132120,20240115200110
14046,19040,20240819100328,20240819125637
5576,9571,20240426223426,20240426235053
3941,9929,20240516042113,20240516060109
1076,4580,20240612002735,20240612041936
3217,14580,20241204224003,20241205062141
12872,17930,20240929175335,20240929210900
5726,16743,20240225230857,20240226044447
4618,7139,20240310111011,20240310172913
6750,17994,20241202080306,20241202132721
2270,7167,20241227201655,20241227231339
442,8137,20240110064224,20240110140221
9335,18949,20240202220053,20240203025122
9321,10623,20240421030040,20240421052040
9781,16612,20241117080306,20241117091817
7425,11732,20241004152643,20241004171520
3094,17215,20241009122027,20241009122340
3361,18006,20240607141554,20240607173333
19744,19802,20240707223319,20240708011301
4098,5048,20240406173340,20240406224922
6311,18962,20240324184134,20240325010145
6030,7315,20241108015111,20241108052144
1106,7236,20240219213541,20240220000810
7280,17477,20240605021928,20240605042452
4290,12459,20240707143849,20240707151332
7214,8187,20240119134425,20240119184817
14984,17526,20240109071423,20240109142432
2136,19427,20240621084220,20240621111326
17147,18842,20240619015623,20240619051521
6849,13741,20240809090723,20240809141730
12262,16088,20240421031814,20240421062651
8398,12520,20240212200732,20240212224429
6929,11680,20240126214557,20240127022215
603,15192,20240920205155,20240920223342
833,16894,20241203201752,20241203225855
2143,12723,20240707140337,20240707162341
11353,13753,20240119223851,20240120025610
4273,16652,20241226143810,20241226151442
1957,3269,20240910233129,20240911005628
5801,18822,20240520042107,20240520085532
9763,12287,20241226054038,20241226124055
550,19022,20240610075149,20240610105517
1712,19337,20240101183842,20240101212010
12169,15698,20240716024158,20240716063135
5197,19350,20241026111330,20241026185150
2761,16507,20240329022359,20240329033839
6818,8515,20240630102517,20240630104819
1114,3223,20241230122733,20241230160132
8921,10084,20240228082416,20240228112504
6516,19985,20241120032258,20241120063309
9807,9953,20241125133635,20241125181650
5468,7418,20240129173417,20240129195502
10020,16237,20240908031901,20240908072659
4245,6997,20241113113828,20241113191123
595,2293,20241204110203,20241204132922
13159,13189,20240507155617,20240507155735
11585,14817,20240208033831,20240208103516
7493,10630,20240201225230,20240201230706
